Title,Id,ru,sp,du
"""ent"" (as in cli-ent)",_went,«ent» (как в cli-ent),ent (como en cli-ent),ent (wie in cli-ent)
“u” - consonant - “e”,_suce,«U» - согласный - «e»,"U - consonante - ""e""","U - Konsonant - ""e"""
"""vce"" words.",_svw,слова «vce».,vce palabras.,vce Worte.
"""a""",a,A.,A.,ein
"a (long a), which is also called a faded schwa",_wfs,"a (long a), который также называется увядшим schwa","a (largo a), que también se llama un schwa desvanecido","a (long a), die auch als verblasstes schwa bezeichnet wird"
a (long),_sa1,a (длинный),un largo,ein (Ton lang)
a (short),_sa,a (короткий),un corto,ein kurzer
A closed syllable is one in which a vowel is followed by one or more consonants.,_sacsio,"Закрытый слог - это тот, в котором за гласной следует один или несколько согласных.",Una sílaba cerrada es una sílaba en la que una vocal es seguida por una o más consonantes.,"Eine geschlossene Silbe ist eine, in der ein Vokal von einem oder mehreren Konsonanten gefolgt wird."
"A one syllable word that ends in a vowel is an open syllable, for example:  me  = m",_saone1,"Одно слоговое слово, которое заканчивается гласным, является открытым слогом, например: me = m","Una palabra de una sílaba que termina en una vocal es una sílaba abierta, por ejemplo: me = m","Ein einsilbiges Wort, das in einem Vokal endet, ist eine offene Silbe, zum Beispiel: ich = m"
A syllable always contains a vowel and can be said in one breath.,_sasaca,,,
"A syllable is a word, or part of a word.",_sasiaw,,,
"A syllable that contains a vowel, a consonant and a siltne ""e"" is called a vce syllable.",_sastca,,,
A syllable with a vowel at the end of it is called an open syllable.,_saswav,,,
a vowel,_sav,,,
A word must always have a vowel sound.  ,_sawmah,,,
"A word represented by the letters ""cvc"" is made up with (a consonant , a vowel, and a consonant).",_sawwtl,,,
"A, e, i, o, and u.",_saeiou,,,
able (the letters),_lable,,,
about final blends.,_safb,,,
about initial blends.,_saib,,,
about the doubling rule.,_satdr,,,
about word blends.,_sitlywl,,,
active,active,,,
"Add a vowel (a,e,i,o or u) to make a word.",_saavtm,,,
"After you type your choice, I will give you the correct choice for spelling.",_saytyc,,,
AFTMID2,AFTMID2,,,
"Again, separate the words into syllables, read one syllable at a time, and then blend into a whole word.",_sasitw,,,
ai (the letters),_lai,,,
ai (the sounds),_sai,,,
air,air,,,
ald (the letters),_lald,,,
alk (the letters),_lalk,,,
all (the letters),_lall,,,
all of the long vowel sounds which are closed syllable exceptions,_saotlvs,,,
All of these words should be memorized.,_saatws,,,
All syllables must have a vowel.,_sasmha,,,
all the digraphs you have learned so far.,_satdyh,,,
All the syllables in these words will be closed; therefore the vowels will be short.,_sallth,,,
all the vowel teams you have learned so far.,_satvty,,,
all the vowel teams you worked with in the previous lessons.,_satvty1,,,
All three make the same sound.,_satmtss,,,
alm (the letters),_lalm,,,
Almost all of the words you have practiced so far have been one syllable.,_salmos,,,
"Also, in the word full, the short ""u"" sound is affected by the ""l"".",_saitwf,,,
"Also, remember that some vowel teams can make more than one sound.",_sarttv,,,
alt (the letters),_lalt,,,
Always blend the word syllable by syllable.,_salway,,,
"An ""s"" is added to the end of the word to make it plural.",_sasiat,,,
"An example is the word ""patch"", which has a short ""a"".",_saeitw,,,
"An open syllable ends with a vowel, and that vowel is long.",_sanope,,,
and,_wand,,,
"and ""p"" ...(are consonants.) (the letters ""t"")...",_sap,,,
and a consonant.,_saac,,,
And say the letter sound...,_sastls,,,
And say the letters sound...,_sastls1,,,
and the blend or digraph (Hint3).,_satbod,,,
and the consonant (Hint3).,_satc,,,
and the vowel (Hint3),_satv,,,
"and vowels with the letter ""v"". (We will represent consonants with the letter ""c"")",_savwtl,,,
"and...(Hint3) (used in Syllables, Break 3)",_wand1,,,
"""ang"" (the letters)",_lang,,,
"""ang"" (the sounds)",_sang,,,
"""ank"" (the letters)",_lank,,,
ank (the sounds),_sank,,,
another digraph in which the consonants do have separate sounds.,_sadiwt,,,
another exception to vowel team rules.,_saetvt,,,
Answer no if you think the doubling rule does not apply to the word.,_saniyt,,,
Answer yes if you think the doubling rule applies to the word.,_sayiyt,,,
appear,appear,,,
applause,_sapplau,,,
ar,_lar,,,
are,are,,,
"are called r-controlled syllables (Syllables that contain the letters...(ar/er/ir, etc) ...",_sacrcs,,,
"are consonants. (the letters ""t"" and ""p"")",_sac,,,
Are you finished with these words?,_saydwt,,,
arr (the letters),_larr,,,
"As a vowel team, you know that letters “ie” make long vowel sounds.",_saavty,,,
"As each new sight word is introduced, the computer will record it in your electronic sight word notebook.",_saensw,,,
as in,_sasin,,,
as in the word...,_saitw,,,
"As you have practiced, “ow” also makes the sound of long “o”.",_sayhpo,,,
"As you may have guessed by now, all the syllable types seem to have an exception or two.",_sasyou,,,
At least one letter in that word is silent.,_saloli,,,
au (the letters),_lau,,,
au (the sounds),_sau,,,
augh (the letters),_laugh,,,
augh1 (the sounds),_saugh,,,
augh2 (as in LAUGH),_saugh2,,,
aw (the letters),_law,,,
aw (the sounds),_saw,,,
ay (the letters),_lay,,,
ay (the sounds),_say,,,
b (the letter),b,,,
baby,baby,,,
BACHINV1,BACHINV1,,,
BACHINV2,BACHINV2,,,
BACHINV3,BACHINV3,,,
BACHPR51,BACHPR51,,,
bald,bald,,,
ball,ball,,,
